Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-02-02 16:00,BTCUSD,3427.67,3430.66,3421.16,3430.0,227.86,780556.11
2019-02-02 15:00,BTCUSD,3437.1,3439.05,3424.5,3427.67,154.82,531302.2
2019-02-02 14:00,BTCUSD,3433.6,3441.73,3431.27,3437.1,94.14,323304.79
2019-02-02 13:00,BTCUSD,3439.99,3442.04,3433.38,3433.6,88.53,304347.66
2019-02-02 12:00,BTCUSD,3442.47,3443.67,3437.85,3439.99,79.77,274456.16
2019-02-02 11:00,BTCUSD,3434.61,3446.38,3433.02,3442.47,78.67,270682.97
2019-02-02 10:00,BTCUSD,3432.21,3437.72,3429.33,3434.61,52.51,180303.19
2019-02-02 09:00,BTCUSD,3419.23,3432.21,3416.43,3432.21,145.53,498774.71
2019-02-02 08:00,BTCUSD,3425.0,3425.0,3416.0,3419.23,57.99,198349.11
2019-02-02 07:00,BTCUSD,3417.49,3425.0,3416.61,3425.0,94.68,323991.82
2019-02-02 06:00,BTCUSD,3422.12,3422.73,3414.49,3417.49,110.04,376255.65
2019-02-02 05:00,BTCUSD,3434.12,3436.11,3415.36,3422.12,175.56,600875.25
2019-02-02 04:00,BTCUSD,3440.47,3441.97,3432.71,3434.12,114.86,394787.35
2019-02-02 03:00,BTCUSD,3437.34,3441.61,3436.47,3440.47,146.96,505408.75
2019-02-02 02:00,BTCUSD,3431.35,3439.91,3429.71,3437.34,188.95,649296.85
2019-02-02 01:00,BTCUSD,3432.51,3433.48,3428.76,3431.35,179.75,616883.44
2019-02-02 00:00,BTCUSD,3437.5,3441.65,3432.0,3432.51,192.39,661466.49
2019-02-01 23:00,BTCUSD,3444.41,3455.0,3437.0,3437.5,279.33,963082.51
2019-02-01 22:00,BTCUSD,3449.14,3450.64,3437.63,3444.41,363.87,1252980.61
2019-02-01 21:00,BTCUSD,3448.0,3450.0,3442.24,3449.14,295.52,1018080.51
2019-02-01 20:00,BTCUSD,3443.51,3449.99,3443.5,3448.0,384.26,1324712.61
2019-02-01 19:00,BTCUSD,3438.99,3458.26,3438.0,3443.51,827.76,2852081.87
2019-02-01 18:00,BTCUSD,3432.04,3440.0,3432.0,3438.99,341.31,1172747.99
2019-02-01 17:00,BTCUSD,3425.0,3432.3,3424.99,3432.04,403.98,1385466.57
2019-02-01 16:00,BTCUSD,3430.96,3430.96,3421.71,3425.0,332.89,1139904.39
2019-02-01 15:00,BTCUSD,3434.36,3435.0,3427.01,3430.96,212.26,728031.36
2019-02-01 14:00,BTCUSD,3438.79,3441.8,3431.0,3434.36,274.05,941903.88
2019-02-01 13:00,BTCUSD,3426.72,3438.8,3426.72,3438.79,315.53,1082991.95
2019-02-01 12:00,BTCUSD,3420.01,3441.28,3420.0,3426.72,430.9,1478661.7
2019-02-01 11:00,BTCUSD,3406.02,3436.9,3406.02,3420.01,604.16,2067946.14
2019-02-01 10:00,BTCUSD,3395.23,3409.41,3393.25,3406.02,181.51,616831.6
2019-02-01 09:00,BTCUSD,3397.26,3399.5,3392.48,3395.23,81.18,275708.09
2019-02-01 08:00,BTCUSD,3379.55,3399.5,3379.55,3397.26,151.11,512476.91
2019-02-01 07:00,BTCUSD,3393.19,3393.2,3377.05,3379.55,556.57,1883565.84
2019-02-01 06:00,BTCUSD,3394.02,3394.02,3386.0,3393.19,88.3,299409.64
2019-02-01 05:00,BTCUSD,3389.26,3394.99,3388.0,3394.02,143.64,487264.67
2019-02-01 04:00,BTCUSD,3396.02,3396.03,3388.0,3389.26,181.16,614399.94
2019-02-01 03:00,BTCUSD,3388.21,3398.76,3382.22,3396.02,287.74,975700.55
2019-02-01 02:00,BTCUSD,3386.2,3392.18,3380.61,3388.21,387.02,1310719.58
2019-02-01 01:00,BTCUSD,3410.62,3411.16,3369.62,3386.2,792.53,2691527.87
2019-02-01 00:00,BTCUSD,3411.49,3419.88,3407.16,3410.62,494.35,1687464.36
